//CHER
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_Reais							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> Real_1, 	1					// Currency Classname, Currency Money Value
	<Currency> Real_2, 	2
	<Currency> Real_5, 	5
	<Currency> Real_10, 	10
	<Currency> Real_20, 	20
	<Currency> Real_50, 	50
	<Currency> Real_100, 	100
	<Currency> Real_200, 	200


<Trader> Consumiveis							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetais							// Category Name
		CaninaBerry,		         	*,		100,		30	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,		        	*,		100,		30	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		30	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		30	// Sellvalue -1 means it can not be selled
		BRTX_HeavyVest_Camo122,				*,		50000,		2000
		BRTX_HeavyVest_Camo149,				*,		50000,		2000
		BRTX_HeavyVest_Camo156,				*,		50000,		2000
		BRTX_HeavyVest_Camo167,				*,		50000,		2000
		BRTX_HeavyVest_Camo210,				*,		50000,		2000
		BRTX_HeavyVest_Camo253,				*,		50000,		2000
		BRTX_HeavyVest_Camo256,				*,		50000,		2000
		BRTX_HeavyVest_Camo256A,			*,		50000,		2000
		BRTX_HeavyVest_Camo257,				*,		50000,		2000
		BRTX_HeavyVest_Camo258,				*,		50000,		2000
		BRTX_HeavyVest_Camo259,				*,		50000,		2000
		BRTX_HeavyVest_Camo260,				*,		50000,		2000
		BRTX_HeavyVest_Camo264,				*,		50000,		2000
		BRTX_HeavyVest_Evil,				*,		50000,		2000
		BRTX_HeavyVest_Evil2,				*,		50000,		2000
		BRTX_HeavyVest_Extreme,				*,		50000,		2000
		BRTX_HeavyVest_Extreme2,			*,		50000,		2000
		BRTX_HeavyVest_Extreme3,			*,		50000,		2000
		BRTX_HeavyVest_Firebird,			*,		50000,		2000
		BRTX_HeavyVest_Goblin,				*,		50000,		2000
		BRTX_HeavyVest_Goblin2,				*,		50000,		2000
		BRTX_HeavyVest_Joker,				*,		50000,		2000
		BRTX_HeavyVest_KingG,				*,		50000,		2000
		BRTX_HeavyVest_KingS,				*,		50000,		2000
		BRTX_HeavyVest_Obsidian,			*,		50000,		2000
		BRTX_HeavyVest_Pun,			     	*,		50000,		2000
		BRTX_HeavyVest_Pun2,				*,		50000,		2000
		BRTX_HeavyVest_Pun3,				*,		50000,		2000
		BRTX_HeavyVest_Pun4,				*,		50000,		2000
		BRTX_HeavyVest_SkullB,				*,		50000,		2000
		BRTX_HeavyVest_SkullG,				*,		50000,		2000
		BRTX_HeavyVest_SkullP,				*,		50000,		2000
		BRTX_HeavyVest_SkullR,				*,		50000,		2000
		BRTX_HeavyVest_SkullY,				*,		50000,		2000
		BRTX_HeavyVest_SnakeB,				*,		50000,		2000
		BRTX_HeavyVest_SnakeG,				*,		50000,		2000
		BRTX_HeavyVest_SnakeP,				*,		50000,		2000
		BRTX_HeavyVest_SnakeR,				*,		50000,		2000
		BRTX_HeavyVest_SnakeY,				*,		50000,		2000
		BRTX_HeavyVest_StrainB,				*,		50000,		2000
		BRTX_HeavyVest_StrainG,				*,		50000,		2000
		BRTX_HeavyVest_StrainO,				*,		50000,		2000
		BRTX_HeavyVest_StrainP,				*,		50000,		2000
		BRTX_HeavyVest_StrainR,				*,		50000,		2000
		BRTX_HeavyVest_StrainY,				*,		50000,		2000
		BRTX_HeavyVest_Toxic,				*,		50000,		2000
		BRTX_HeavyVest_Venom,				*,		50000,		2000
		BRTX_HeavyVest_WolfB,				*,		50000,		2000
		BRTX_HeavyVest_WolfG,				*,		50000,		2000
		BRTX_HeavyVest_WolfO,				*,		50000,		2000
		BRTX_HeavyVest_WolfP,				*,		50000,		2000
		BRTX_HeavyVest_WolfPi,				*,		50000,		2000
		BRTX_HeavyVest_WolfR,				*,		50000,		2000
		BRTX_HeavyVest_WolfY,				*,		50000,		2000
		BRTX_HeavyVest_AngelG,					*,		50000,		2000			
		BRTX_HeavyVest_Bear,					*,		50000,		2000	
		BRTX_HeavyVest_Bear2,					*,		50000,		2000
		BRTX_HeavyVest_Bear3,					*,		50000,		2000	
		BRTX_HeavyVest_CaptA,					*,		50000,		2000	
		BRTX_HeavyVest_Cobra,					*,		50000,		2000	
		BRTX_HeavyVest_CrossB,					*,		50000,		2000	
		BRTX_HeavyVest_CrossPi,					*,		50000,		2000	
		BRTX_HeavyVest_DeadPool,				*,		50000,		2000	
		BRTX_HeavyVest_Demon,					*,		50000,		2000	
		BRTX_HeavyVest_Demon2,					*,		50000,		2000	
		BRTX_HeavyVest_Demon2A,					*,		50000,		2000	
		BRTX_HeavyVest_Dog,						*,		50000,		2000	
		BRTX_HeavyVest_Dragon,					*,		50000,		2000	
		BRTX_HeavyVest_Dragon2,					*,		50000,		2000	
		BRTX_HeavyVest_Dragon3,					*,		50000,		2000	
		BRTX_HeavyVest_Dragon3A,				*,		50000,		2000	
		BRTX_HeavyVest_Dragon4,					*,		50000,		2000	
		BRTX_HeavyVest_Dragon4A,				*,		50000,		2000
		BRTX_HeavyVest_Extreme4,				*,		50000,		2000
		BRTX_HeavyVest_Extreme5R,				*,		50000,		2000
		BRTX_HeavyVest_Gypsy,					*,		50000,		2000
		BRTX_HeavyVest_Harly,					*,		50000,		2000
		BRTX_HeavyVest_Hello,					*,		50000,		2000
		BRTX_HeavyVest_Hello2,					*,		50000,		2000
		BRTX_HeavyVest_Hello3,					*,		50000,		2000
		BRTX_HeavyVest_Hello4,					*,		50000,		2000
		BRTX_HeavyVest_Joker2,					*,		50000,		2000
		BRTX_HeavyVest_Joker3,					*,		50000,		2000
		BRTX_HeavyVest_KamikazeGy,				*,		50000,		2000
		BRTX_HeavyVest_KamikazeGyA,				*,		50000,		2000
		BRTX_HeavyVest_KamikazeGyB,				*,		50000,		2000
		BRTX_HeavyVest_Lightning,				*,		50000,		2000
		BRTX_HeavyVest_Lightning2,				*,		50000,		2000
		BRTX_HeavyVest_NinjaB,					*,		50000,		2000
		BRTX_HeavyVest_Preditor,				*,		50000,		2000
		BRTX_HeavyVest_Pun5,					*,		50000,		2000	
		BRTX_HeavyVest_Pun5A,					*,		50000,		2000
		BRTX_HeavyVest_Pun6,					*,		50000,		2000
		BRTX_HeavyVest_Pun7,					*,		50000,		2000
		BRTX_HeavyVest_Pun8,					*,		50000,		2000
		BRTX_HeavyVest_Pun9,					*,		50000,		2000
		BRTX_HeavyVest_Pun10,					*,		50000,		2000
		BRTX_HeavyVest_Pun11,					*,		50000,		2000
		BRTX_HeavyVest_Pun12,					*,		50000,		2000
		BRTX_HeavyVest_Pun13,					*,		50000,		2000
		BRTX_HeavyVest_Pun14,					*,		50000,		2000
		BRTX_HeavyVest_Pun15,					*,		50000,		2000
		BRTX_HeavyVest_Pun15A,					*,		50000,		2000
		BRTX_HeavyVest_Pun16,					*,		50000,		2000
		BRTX_HeavyVest_Pun17,					*,		50000,		2000
		BRTX_HeavyVest_Pun18,					*,		50000,		2000
		BRTX_HeavyVest_Pun19,					*,		50000,		2000
		BRTX_HeavyVest_Pun20,					*,		50000,		2000
		BRTX_HeavyVest_Pun21,					*,		50000,		2000
		BRTX_HeavyVest_Reaper,					*,		50000,		2000
		BRTX_HeavyVest_Reaper2,					*,		50000,		2000
		BRTX_HeavyVest_Reaper3Pi,				*,		50000,		2000
		BRTX_HeavyVest_Reaper4,					*,		50000,		2000
		BRTX_HeavyVest_Rip,						*,		50000,		2000
		BRTX_HeavyVest_Rip2,					*,		50000,		2000
		BRTX_HeavyVest_Rip3,					*,		50000,		2000
		BRTX_HeavyVest_Rip4,					*,		50000,		2000
		BRTX_HeavyVest_Scorpion,				*,		50000,		2000
		BRTX_HeavyVest_SheDevilPi,				*,		50000,		2000
		BRTX_HeavyVest_SheDevilR,				*,		50000,		2000
		BRTX_HeavyVest_Skull,					*,		50000,		2000
		BRTX_HeavyVest_Skull2,					*,		50000,		2000
		BRTX_HeavyVest_Skull3,					*,		50000,		2000
		BRTX_HeavyVest_Skull4,					*,		50000,		2000
		BRTX_HeavyVest_Skull5,					*,		50000,		2000
		BRTX_HeavyVest_Skull6,					*,		50000,		2000
		BRTX_HeavyVest_Skull7O,					*,		50000,		2000
		BRTX_HeavyVest_Skull7Pi,				*,		50000,		2000
		BRTX_HeavyVest_Skull8,					*,		50000,		2000
		BRTX_HeavyVest_Skull8A,					*,		50000,		2000	
		BRTX_HeavyVest_Spade,					*,		50000,		2000
		BRTX_HeavyVest_Spiderman2,				*,		50000,		2000
		BRTX_HeavyVest_Spiderman3,				*,		50000,		2000
		BRTX_HeavyVest_Spiderman4,				*,		50000,		2000
		BRTX_HeavyVest_Spiderman5,				*,		50000,		2000
		BRTX_HeavyVest_Spiderman6,				*,		50000,		2000
		BRTX_HeavyVest_StreetFighter,			*,		50000,		2000
		BRTX_HeavyVest_ThunderCats,				*,		50000,		2000
		BRTX_HeavyVest_ThunderCats2,			*,		50000,		2000
		BRTX_HeavyVest_Toxic1,					*,		50000,		2000
		BRTX_HeavyVest_Toxic2,					*,		50000,		2000
		BRTX_HeavyVest_Toxic3,					*,		50000,		2000
		BRTX_HeavyVest_Toxic4,					*,		50000,		2000
		BRTX_HeavyVest_Toxic5,					*,		50000,		2000
		BRTX_HeavyVest_Toxic5A,					*,		50000,		2000
		BRTX_HeavyVest_Toxic6,					*,		50000,		2000
		BRTX_HeavyVest_Transformers,			*,		50000,		2000
		BRTX_HeavyVest_UmBrella,				*,		50000,		2000
		BRTX_HeavyVest_Viper,					*,		50000,		2000
		BRTX_HeavyVest_Viper2,					*,		50000,		2000
		BRTX_HeavyVest_Viper3,					*,		50000,		2000
		BRTX_HeavyVest_Viper4,					*,		50000,		2000
		BRTX_HeavyVest_Viper5,					*,		50000,		2000
		BRTX_HeavyVest_Wolf,					*,		50000,		2000
		BRTX_HeavyVest_Wolf2,					*,		50000,		2000
		BRTX_HeavyVest_Wolf2A,					*,		50000,		2000
		BRTX_HeavyVest_Wolf2B,					*,		50000,		2000
		BRTX_HeavyVest_Wolf3,					*,		50000,		2000
		BRTX_HeavyVest_Wolf4,					*,		50000,		2000
		BRTX_HeavyVest_Wolverine,				*,		50000,		2000
		BRTX_HeavyVest_XCamo109,				*,		50000,		2000
		BRTX_HeavyVest_XCamo109A,				*,		50000,		2000
		BRTX_HeavyVest_XCamo257,				*,		50000,		2000
		BRTX_HeavyVest_XCamo258,				*,		50000,		2000
		BRTX_HeavyVest_XCamo258A,				*,		50000,		2000 
	
	<Category> Retextura: Variantes da Camisa do Operador
		BRTX_Operatorshirt_Camo21,				*,		50000,		1000
		BRTX_Operatorshirt_Camo21A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo33,				*,		50000,		1000
		BRTX_Operatorshirt_Camo33A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo34,				*,		50000,		1000
		BRTX_Operatorshirt_Camo34A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo40,				*,		50000,		1000
		BRTX_Operatorshirt_Camo40A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo45,				*,		50000,		1000
		BRTX_Operatorshirt_Camo45A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo48,				*,		50000,		1000
		BRTX_Operatorshirt_Camo48A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo49,				*,		50000,		1000
		BRTX_Operatorshirt_Camo49A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo53,				*,		50000,		1000
		BRTX_Operatorshirt_Camo53A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo56,				*,		50000,		1000
		BRTX_Operatorshirt_Camo56A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo65,				*,		50000,		1000
		BRTX_Operatorshirt_Camo65A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo77,				*,		40000,		900
		BRTX_Operatorshirt_Camo77A,				*,		50000,		1000
		BRTX_Operatorshirt_Camo77_1,			*,		50000,		1000
		BRTX_Operatorshirt_Camo77_1A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo101,				*,		50000,		1000
		BRTX_Operatorshirt_Camo101A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo109,				*,		50000,		1000
		BRTX_Operatorshirt_Camo109A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo111,				*,		50000,		1000
		BRTX_Operatorshirt_Camo111A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo253,				*,		50000,		1000
		BRTX_Operatorshirt_Camo253A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo256,				*,		50000,		1000
		BRTX_Operatorshirt_Camo256A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo257,				*,		50000,		1000
		BRTX_Operatorshirt_Camo257A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo257_1,			*,		50000,		1000
		BRTX_Operatorshirt_Camo257_1A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo258,				*,		50000,		1000
		BRTX_Operatorshirt_Camo258A,			*,		50000,		1000
		BRTX_Operatorshirt_Camo264,				*,		50000,		1000
		BRTX_Operatorshirt_Camo264A,			*,		50000,		1000
		BRTX_Operatorshirt_Evil,				*,		50000,		1000
		BRTX_Operatorshirt_Obsidian,			*,		50000,		1000
		BRTX_Operatorshirt_ObsidianA,			*,		50000,		1000
		BRTX_Operatorshirt_Obsidian_1,			*,		50000,		1000
		BRTX_Operatorshirt_BasicBlack,			*,		50000,		1000		
		BRTX_Operatorshirt_Vanta,			*,		50000,		1000	
	
	<Category> Retextura: Variantes de calças de combate
		BRTX_combatpants_Camo15,				*,		20000,		1000
		BRTX_combatpants_Camo15A,				*,		20000,		1000
		BRTX_combatpants_Camo16_1,				*,		20000,		1000
		BRTX_combatpants_Camo21,				*,		20000,		1000
		BRTX_combatpants_Camo21A,				*,		20000,		1000
		BRTX_combatpants_Camo33,				*,		20000,		1000
		BRTX_combatpants_Camo33A,				*,		20000,		1000
		BRTX_combatpants_Camo34,				*,		20000,		1000
		BRTX_combatpants_Camo34A,				*,		20000,		1000
		BRTX_combatpants_Camo40,				*,		20000,		1000
		BRTX_combatpants_Camo40A,				*,		20000,		1000
		BRTX_combatpants_Camo45,				*,		20000,		1000
		BRTX_combatpants_Camo45A,				*,		20000,		1000
		BRTX_combatpants_Camo48,				*,		20000,		1000
		BRTX_combatpants_Camo48A,				*,		20000,		1000
		BRTX_combatpants_Camo49,				*,		20000,		1000
		BRTX_combatpants_Camo49A,				*,		20000,		1000
		BRTX_combatpants_Camo53,				*,		20000,		1000
		BRTX_combatpants_Camo53A,				*,		20000,		1000
		BRTX_combatpants_Camo56,				*,		20000,		1000
		BRTX_combatpants_Camo56A,				*,		20000,		1000
		BRTX_combatpants_Camo65,				*,		20000,		1000
		BRTX_combatpants_Camo65A,				*,		20000,		1000
		BRTX_combatpants_Camo77,				*,		10000,		900
		BRTX_combatpants_Camo77A,				*,		20000,		1000
		BRTX_combatpants_Camo77_1,				*,		20000,		1000
		BRTX_combatpants_Camo77_1A,				*,		20000,		1000
		BRTX_combatpants_Camo101,				*,		20000,		1000
		BRTX_combatpants_Camo101A,				*,		20000,		1000
		BRTX_combatpants_Camo109,				*,		20000,		1000
		BRTX_combatpants_Camo109A,				*,		20000,		1000
		BRTX_combatpants_Camo111,				*,		20000,		1000
		BRTX_combatpants_Camo111A,				*,		20000,		1000
		BRTX_combatpants_Camo253,				*,		20000,		1000
		BRTX_combatpants_Camo253A,				*,		20000,		1000
		BRTX_combatpants_Camo256,				*,		20000,		1000
		BRTX_combatpants_Camo256A,				*,		20000,		1000
		BRTX_combatpants_Camo257,				*,		20000,		1000
		BRTX_combatpants_Camo257A,				*,		20000,		1000
		BRTX_combatpants_Camo258,				*,		20000,		1000
		BRTX_combatpants_Camo258A,				*,		20000,		1000
		BRTX_combatpants_Camo264,				*,		20000,		1000
		BRTX_combatpants_Camo264A,				*,		20000,		1000
		BRTX_combatpants_Evil,					*,		20000,		1000
		BRTX_combatpants_Obsidian,				*,		20000,		1000
		BRTX_combatpants_BaseBlack,				*,		20000,		1000
		BRTX_combatpants_Vanta,				*,		20000,		1000	

	<Category> Retextura: Variantes de Bolsa de Suprimentos 300 slots
		BRTX_supplybag_Camo14,				*,		500000,		2000
		BRTX_supplybag_Camo16,				*,		500000,		2000
		BRTX_supplybag_Camo21,				*,		500000,		2000
		BRTX_supplybag_Camo33,				*,		500000,		2000
		BRTX_supplybag_Camo33A,				*,		500000,		2000
		BRTX_supplybag_Camo33B,				*,		500000,		2000
		BRTX_supplybag_Camo34,				*,		500000,		2000
		BRTX_supplybag_Camo34A,				*,		500000,		2000
		BRTX_supplybag_Camo40,				*,		500000,		2000
		//BRTX_supplybag_Camo41,				*,		500000,		2000
		BRTX_supplybag_Camo43,				*,		500000,		2000
		BRTX_supplybag_Camo44,				*,		500000,		2000
		BRTX_supplybag_Camo45,				*,		500000,		2000
		BRTX_supplybag_Camo46,				*,		500000,		2000
		BRTX_supplybag_Camo48,				*,		500000,		2000
		BRTX_supplybag_Camo48A,				*,		500000,		2000
		BRTX_supplybag_Camo49,				*,		500000,		2000
		//BRTX_supplybag_Camo51,				*,		500000,		2000
		BRTX_supplybag_Camo52,				*,		500000,		2000
		BRTX_supplybag_Camo53,				*,		500000,		2000
		BRTX_supplybag_Camo56,				*,		500000,		2000
		BRTX_supplybag_Camo60,				*,		500000,		2000
		BRTX_supplybag_Camo63,				*,		500000,		2000
		BRTX_supplybag_Camo64,				*,		500000,		2000
		BRTX_supplybag_Camo65,				*,		500000,		2000
		BRTX_supplybag_Camo77,				*,		500000,		2000
		BRTX_supplybag_Camo77A,				*,		500000,		2000
		BRTX_supplybag_Camo78,				*,		500000,		2000
		BRTX_supplybag_Camo79,				*,		500000,		2000
		BRTX_supplybag_Camo81,				*,		500000,		2000
		BRTX_supplybag_Camo101,				*,		500000,		2000
		BRTX_supplybag_Camo109,				*,		500000,		2000
		BRTX_supplybag_Camo109A,			*,		500000,		2000
		BRTX_supplybag_Camo111,				*,		500000,		2000
		//BRTX_supplybag_Camo121,				*,		500000,		2000
		//BRTX_supplybag_Camo122,				*,		500000,		2000
		//BRTX_supplybag_Camo149,				*,		500000,		2000
		//BRTX_supplybag_Camo156,				*,		500000,		2000
		//BRTX_supplybag_Camo167,				*,		500000,		2000
		BRTX_supplybag_Camo210,				*,		500000,		2000
		//BRTX_supplybag_Camo253,				*,		500000,		2000
		BRTX_supplybag_Camo256,				*,		500000,		2000
		//BRTX_supplybag_Camo257,				*,		500000,		2000
		BRTX_supplybag_Camo258,				*,		500000,		2000
		BRTX_supplybag_Camo259,				*,		500000,		2000
		BRTX_supplybag_Camo260,				*,		500000,		2000
		BRTX_supplybag_Camo264,				*,		500000,		2000
		BRTX_supplybag_Evil,				*,		500000,		2000
		BRTX_supplybag_Obsidian,				*,		500000,		2000
		BRTX_supplybag_Silk,				*,		500000,		2000
		BRTX_supplybag_Vanta,				*,		500000,		2000
		BRTX_supplybag_BasicBlack,				*,		500000,		2000	

	<Category> Retextura: Variantes de mochila transportadora 200 slots
		BRTX_carrier_backpack_Camo14,				*,		280000,		1200
		BRTX_carrier_backpack_Camo16,				*,		280000,		1200
		BRTX_carrier_backpack_Camo21,				*,		280000,		1200
		BRTX_carrier_backpack_Camo33,				*,		280000,		1200
		BRTX_carrier_backpack_Camo33A,				*,		280000,		1200
		BRTX_carrier_backpack_Camo33B,				*,		280000,		1200
		BRTX_carrier_backpack_Camo34,				*,		280000,		1200
		BRTX_carrier_backpack_Camo34A,				*,		280000,		1200
		BRTX_carrier_backpack_Camo40,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo41,				*,		280000,		1200
		BRTX_carrier_backpack_Camo43,				*,		280000,		1200
		BRTX_carrier_backpack_Camo44,				*,		280000,		1200
		BRTX_carrier_backpack_Camo45,				*,		280000,		1200
		BRTX_carrier_backpack_Camo46,				*,		280000,		1200
		BRTX_carrier_backpack_Camo48,				*,		280000,		1200
		BRTX_carrier_backpack_Camo48A,				*,		280000,		1200
		BRTX_carrier_backpack_Camo49,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo51,				*,		280000,		1200
		BRTX_carrier_backpack_Camo52,				*,		280000,		1200
		BRTX_carrier_backpack_Camo53,				*,		280000,		1200
		BRTX_carrier_backpack_Camo56,				*,		280000,		1200
		BRTX_carrier_backpack_Camo60,				*,		280000,		1200
		BRTX_carrier_backpack_Camo63,				*,		280000,		1200
		BRTX_carrier_backpack_Camo64,				*,		280000,		1200
		BRTX_carrier_backpack_Camo65,				*,		280000,		1200
		BRTX_carrier_backpack_Camo77,				*,		180000,		900
		BRTX_carrier_backpack_Camo77A,				*,		280000,		1200
		BRTX_carrier_backpack_Camo78,				*,		280000,		1200
		BRTX_carrier_backpack_Camo79,				*,		280000,		1200
		BRTX_carrier_backpack_Camo81,				*,		280000,		1200
		BRTX_carrier_backpack_Camo101,				*,		280000,		1200
		BRTX_carrier_backpack_Camo109,				*,		280000,		1200
		BRTX_carrier_backpack_Camo109A,			*,		280000,		1200
		BRTX_carrier_backpack_Camo111,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo121,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo122,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo149,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo156,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo167,				*,		280000,		1200
		BRTX_carrier_backpack_Camo210,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo253,				*,		280000,		1200
		BRTX_carrier_backpack_Camo256,				*,		280000,		1200
		//BRTX_carrier_backpack_Camo257,				*,		280000,		1200
		BRTX_carrier_backpack_Camo258,				*,		280000,		1200
		BRTX_carrier_backpack_Camo259,				*,		280000,		1200
		BRTX_carrier_backpack_Camo260,				*,		280000,		1200
		BRTX_carrier_backpack_Camo264,				*,		280000,		1200
		BRTX_carrier_backpack_Evil,				*,		280000,		1200
		BRTX_carrier_backpack_Obsidian,				*,		280000,		1200
		BRTX_carrier_backpack_Silk,				*,		280000,		1200
		BRTX_carrier_backpack_Vanta,				*,		280000,		1200
		BRTX_carrier_backpack_BasicBlack,				*,		280000,		1200

	<Category> Retextura: Variantes do Capacete Atacante
		BRTX_striker_helmet_Camo14,				*,		15000,		800
		BRTX_striker_helmet_Camo14B,				*,		15000,		800
		BRTX_striker_helmet_Camo15,				*,		15000,		800
		BRTX_striker_helmet_Camo15A,				*,		15000,		800
		BRTX_striker_helmet_Camo15A1,				*,		15000,		800
		BRTX_striker_helmet_Camo15B,				*,		15000,		800
		BRTX_striker_helmet_Camo16,				*,		15000,		800
		BRTX_striker_helmet_Camo16A,				*,		15000,		800
		BRTX_striker_helmet_Camo16B,				*,		15000,		800
		BRTX_striker_helmet_Camo21,				*,		15000,		800
		BRTX_striker_helmet_Camo21A,				*,		15000,		800
		BRTX_striker_helmet_Camo21A1,				*,		15000,		800
		BRTX_striker_helmet_Camo21B,				*,		15000,		800
		BRTX_striker_helmet_Camo33,				*,		15000,		800
		BRTX_striker_helmet_Camo33B,				*,		15000,		800
		BRTX_striker_helmet_Camo34,				*,		15000,		800
		BRTX_striker_helmet_Camo34B,				*,		15000,		800
		BRTX_striker_helmet_Camo34_1,				*,		15000,		800
		BRTX_striker_helmet_Camo34_1B,				*,		15000,		800
		BRTX_striker_helmet_Camo40,				*,		15000,		800
		BRTX_striker_helmet_Camo40B,				*,		15000,		800
		BRTX_striker_helmet_Camo43,				*,		15000,		800
		BRTX_striker_helmet_Camo43A,				*,		15000,		800
		BRTX_striker_helmet_Camo43B,				*,		15000,		800
		BRTX_striker_helmet_Camo44,				*,		15000,		800
		BRTX_striker_helmet_Camo44A,				*,		15000,		800
		BRTX_striker_helmet_Camo44B,				*,		15000,		800
		BRTX_striker_helmet_Camo45,				*,		15000,		800
		BRTX_striker_helmet_Camo45A,				*,		15000,		800
		BRTX_striker_helmet_Camo45B,				*,		15000,		800
		BRTX_striker_helmet_Camo46,				*,		15000,		800
		BRTX_striker_helmet_Camo46A,				*,		15000,		800
		BRTX_striker_helmet_Camo46B,				*,		15000,		800
		BRTX_striker_helmet_Camo48,				*,		15000,		800
		BRTX_striker_helmet_Camo48B,				*,		15000,		800
		BRTX_striker_helmet_Camo49,				*,		15000,		800
		BRTX_striker_helmet_Camo49B,				*,		15000,		800
		BRTX_striker_helmet_Camo52,				*,		15000,		800
		BRTX_striker_helmet_Camo52A,				*,		15000,		800
		BRTX_striker_helmet_Camo52A1,				*,		15000,		800
		BRTX_striker_helmet_Camo52B,				*,		15000,		800
		BRTX_striker_helmet_Camo53,				*,		15000,		800
		BRTX_striker_helmet_Camo53B,				*,		15000,		800
		BRTX_striker_helmet_Camo56,				*,		15000,		800
		BRTX_striker_helmet_Camo56B,				*,		15000,		800
		BRTX_striker_helmet_Camo60,				*,		15000,		800
		BRTX_striker_helmet_Camo60A,				*,		15000,		800
		BRTX_striker_helmet_Camo60B,				*,		15000,		800
		BRTX_striker_helmet_Camo63,				*,		15000,		800
		BRTX_striker_helmet_Camo63A,				*,		15000,		800
		BRTX_striker_helmet_Camo63A1,				*,		15000,		800
		BRTX_striker_helmet_Camo63B,				*,		15000,		800
		BRTX_striker_helmet_Camo64,				*,		15000,		800
		BRTX_striker_helmet_Camo64A,				*,		15000,		800
		BRTX_striker_helmet_Camo64B,				*,		15000,		800
		BRTX_striker_helmet_Camo65,				*,		15000,		800
		BRTX_striker_helmet_Camo65B,				*,		15000,		800
		BRTX_striker_helmet_Camo77,				*,		10000,		800
		BRTX_striker_helmet_Camo77B,				*,		15000,		800
		BRTX_striker_helmet_Camo77_1,				*,		15000,		800
		BRTX_striker_helmet_Camo77_1B,				*,		15000,		800
		BRTX_striker_helmet_Camo78,				*,		15000,		800
		BRTX_striker_helmet_Camo78A,				*,		15000,		800
		BRTX_striker_helmet_Camo78B,				*,		15000,		800
		BRTX_striker_helmet_Camo79,				*,		15000,		800
		BRTX_striker_helmet_Camo79A,				*,		15000,		800
		BRTX_striker_helmet_Camo79B,				*,		15000,		800
		BRTX_striker_helmet_Camo81,				*,		15000,		800
		BRTX_striker_helmet_Camo81B,				*,		15000,		800
		BRTX_striker_helmet_Camo101,				*,		15000,		800
		BRTX_striker_helmet_Camo101B,				*,		15000,		800
		BRTX_striker_helmet_Camo109,				*,		15000,		800
		BRTX_striker_helmet_Camo109B,				*,		15000,		800
		BRTX_striker_helmet_Camo111,				*,		15000,		800
		BRTX_striker_helmet_Camo111B,				*,		15000,		800
		BRTX_striker_helmet_Camo210,				*,		15000,		800
		BRTX_striker_helmet_Camo210A,				*,		15000,		800
		BRTX_striker_helmet_Camo210A1,				*,		15000,		800
		BRTX_striker_helmet_Camo210B,				*,		15000,		800
		BRTX_striker_helmet_Camo253,				*,		15000,		800
		BRTX_striker_helmet_Camo253B,				*,		15000,		800
		BRTX_striker_helmet_Camo257,				*,		15000,		800
		BRTX_striker_helmet_Camo257B,				*,		15000,		800
		BRTX_striker_helmet_Camo258,				*,		15000,		800
		BRTX_striker_helmet_Camo258B,				*,		15000,		800
		BRTX_striker_helmet_Camo259,				*,		15000,		800
		BRTX_striker_helmet_Camo259A,				*,		15000,		800
